"country","latestRate","dataYear","pop2022"
"Finland","100","2000","5540.7450"
"Norway","100","2011","5434.3190"
"Luxembourg","100","2000","647.5990"
"Andorra","100","2011","79.8240"
"Greenland","100","2001","56.4660"
"Liechtenstein","100","2011","39.3270"
"Uzbekistan","99.9952","2015","34627.6520"
"Latvia","99.8927","2015","1850.6510"
"Estonia","99.8235","2015","1326.0620"
"Lithuania","99.8233","2015","2750.0550"
"Azerbaijan","99.8053","2015","10358.0740"
"Guam","99.7890","2015","171.7740"
"Kazakhstan","99.7878","2015","19397.9980"
"Poland","99.7874","2015","39857.1450"
"Tajikistan","99.7811","2015","9952.7870"
"Armenia","99.7684","2015","2780.4690"
"Ukraine","99.7641","2015","39701.7390"
"Georgia","99.7596","2015","3744.3850"
"Belarus","99.7220","2015","9534.9540"
"Russia","99.7196","2015","144713.3140"
"Slovenia","99.7148","2015","2119.8440"
"Cuba","99.7107","2015","11212.1910"
"Barbados","99.7000","2002","281.6350"
"Turkmenistan","99.6929","2015","6430.7700"
"Slovakia","99.6000","2004","5643.4530"
"Palau","99.5240","2015","18.0550"
"Kyrgyzstan","99.5013","2015","6630.6230"
"Tonga","99.3979","2015","106.8580"
"Hungary","99.3809","2015","9967.3080"
"Maldives","99.3210","2015","523.7870"
"Croatia","99.2726","2015","4030.3580"
"Moldova","99.2444","2015","3272.9960"
"Cyprus","99.0598","2015","1251.4880"
"Italy","99.0158","2015","59037.4740"
"Samoa","99.0150","2015","222.3820"
"United States","99","2003","338289.8570"
"Japan","99","2002","123951.6920"
"Germany","99","2003","83369.8430"
"United Kingdom","99","2003","67508.9360"
"France","99","2003","64626.6280"
"Canada","99","2003","38454.3270"
"Australia","99","2003","26177.4130"
"Netherlands","99","2003","17564.0140"
"Belgium","99","2003","11655.9300"
"Sweden","99","2003","10549.3470"
"Switzerland","99","2003","8740.4720"
"Denmark","99","2003","5882.2610"
"New Zealand","99","2003","5185.2880"
"Ireland","99","2003","5023.1090"
"Iceland","99","2003","372.8990"
"Monaco","99","2003","36.4690"
"Saint Pierre and Miquelon","99","1982","5.8620"
"Trinidad and Tobago","98.9696","2015","1531.0440"
"Antigua and Barbuda","98.9500","2014","93.7630"
"Cayman Islands","98.8678","2007","68.7060"
"Romania","98.7570","2015","19659.2670"
"Montenegro","98.7199","2015","627.0820"
"Bosnia and Herzegovina","98.4858","2015","3233.5260"
"Uruguay","98.4421","2015","3422.7940"
"Bulgaria","98.3886","2015","6781.9530"
"Mongolia","98.3676","2015","3398.3660"
"Marshall Islands","98.2651","2015","41.5690"
"Spain","98.1145","2015","47558.6300"
"Argentina","98.0900","2015","45510.3180"
"Jordan","98.0144","2015","11285.8690"
"Serbia","98.0029","2015","7221.3650"
"Austria","98","2011","8939.6170"
"French Polynesia","98","1977","306.2790"
"Bermuda","98","2005","64.1840"
"Turks and Caicos Islands","98","1970","45.7030"
"South Korea","97.9659","2008","51815.8100"
"North Macedonia","97.8438","2015","2093.5990"
"Saint Kitts and Nevis","97.8000","2003","47.6570"
"British Virgin Islands","97.8000","1991","31.3050"
"Qatar","97.7571","2015","2695.1220"
"Costa Rica","97.6472","2015","5180.8290"
"Albania","97.5539","2015","2842.3210"
"Aruba","97.5242","2015","106.4450"
"American Samoa","97.3442","1980","44.2730"
"Israel","97.1000","2004","9038.3090"
"Northern Mariana Islands","97","1980","49.5510"
"Montserrat","97","1970","4.3900"
"New Caledonia","96.9378","2015","289.9500"
"Singapore","96.7746","2015","5975.6890"
"Palestine","96.6680","2015","5250.0720"
"Brunei","96.6565","2015","449.0020"
"Chile","96.6275","2015","19603.7330"
"Philippines","96.6180","2015","115559.0090"
"China","96.3575","2015","1425887.3370"
"Kuwait","96.1177","2015","4268.8730"
"Taiwan","96.1000","2003","23893.3940"
"Grenada","96","2003","125.4380"
"San Marino","96","2011","33.6600"
"Bahrain","95.7173","2015","1472.2330"
"Turkey","95.6881","2015","85341.2410"
"Saint Vincent and the Grenadines","95.6322","1970","103.9480"
"Bahamas","95.6000","2003","409.9840"
"Suriname","95.5390","2015","618.0400"
"Paraguay","95.5361","2015","6780.7440"
"Indonesia","95.4377","2015","275501.3390"
"Portugal","95.4281","2015","10270.8650"
"Venezuela","95.3992","2015","28301.6960"
"Seychelles","95.3211","2015","107.1180"
"Greece","95.2929","2015","10384.9710"
"Equatorial Guinea","95.1957","2015","1674.9080"
"Bolivia","95.1419","2015","12224.1100"
"Panama","95.0382","2015","4408.5810"
"Cook Islands","95","2011","17.0110"
"Anguilla","95","1984","15.8570"
"Niue","95","2011","1.9340"
"Saudi Arabia","94.8424","2015","36408.8200"
"Malaysia","94.6370","2015","33938.2210"
"South Africa","94.5979","2015","59893.8850"
"Colombia","94.5771","2015","51874.0240"
"Mexico","94.5456","2015","127504.1250"
"Ecuador","94.5155","2015","18001"
"Vietnam","94.5143","2015","98186.8560"
"Peru","94.3744","2015","34049.5880"
"Malta","94.0666","2015","533.2860"
"Lebanon","94.0511","2015","5489.7390"
"Dominica","94","2003","72.7370"
"Thailand","93.9830","2015","71697.0300"
"Oman","93.9716","2015","4576.2980"
"Fiji","93.7000","2003","929.7660"
"Hong Kong","93.5000","2002","7488.8650"
"Puerto Rico","93.3294","2015","3252.4070"
"Myanmar","93.0901","2015","54179.3060"
