País,Región o Continente,Año​ >> 2006,Año​ >> 2007,Año​ >> 2008,Año​ >> 2009,Año​ >> 2010,Año​ >> 2011,Año​ >> 2012,Año​ >> 2013,Año​ >> 2014
Albania,Europa,0.6607,0.6685,0.6591,0.6601,0.6726,0.6748,0.6655,0.6412,0.6869
Argelia,África,0.6018,0.6068,0.6111,0.6119,0.6052,0.5991,0.6112,0.5966,0.6182
Angola,África,0.6039,0.6034,0.6032,0.6353,0.6712,0.6624,N/A,0.6659,0.6311
Argentina,América Latina,0.6829,0.6982,0.7209,0.7211,0.7187,0.7236,0.7212,0.7195,0.7317
 Armenia,Europa y Asia Central,N/A,0.6651,0.6677,0.6619,0.6669,0.6654,0.6636,0.6634,0.6622
 Australia,Oceanía,0.7163,0.7204,0.7241,0.7282,0.7271,0.7291,0.7294,0.7390,0.7409
 Austria,Europa,0.6986,0.7060,0.7153,0.7031,0.7091,0.7165,0.7391,0.7437,0.7266
 Azerbaiyán,Europa y Asia Central,N/A,0.6781,0.6856,0.6626,0.6446,0.6577,0.6546,0.6582,0.6753
 Bahamas,América,N/A,N/A,N/A,0.7179,0.7128,0.7340,0.7156,0.7128,0.7269
 Baréin,Medio Oriente,0.5894,0.5931,0.5927,0.6136,0.6217,0.6232,0.6298,0.6334,0.6261
 Bangladés,Asia,0.6270,0.6314,0.6531,0.6526,0.6702,0.6812,0.6684,0.6848,0.6973
 Barbados,América,N/A,N/A,0.7188,0.7236,0.7176,0.7170,0.7232,0.7301,0.7289
 Bélgica,Europa,0.7078,0.7198,0.7163,0.7165,0.7509,0.7531,0.7652,0.7684,0.7809
 Belice,América Latina,N/A,0.6426,0.6610,0.6636,0.6536,0.6489,0.6465,0.6449,0.6701
 Benín,África,0.5780,0.5656,0.5582,0.5643,0.5719,0.5832,0.6258,0.5885,N/A
 Bután,Asia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6651,0.6364
 Bolivia,América Latina,0.6335,0.6574,0.6667,0.6693,0.6751,0.6862,0.7222,0.7340,0.7049
 Botsuana,África,0.6897,0.6797,0.6839,0.7071,0.6876,0.6832,0.6744,0.6752,0.7129
 Brasil,América Latina,0.6543,0.6637,0.6737,0.6695,0.6655,0.6679,0.6909,0.6949,0.6941
 Brunéi,Asia,N/A,N/A,0.6392,0.6524,0.6748,0.6787,0.6750,0.6730,0.6719
 Bulgaria,Europa,0.6870,0.7085,0.7077,0.7072,0.6983,0.6987,0.7021,0.7097,0.7444
 Burkina Faso,África,0.5854,0.5912,0.6029,0.6081,0.6162,0.6153,0.6455,0.6513,0.6500
 Burundi,África,N/A,N/A,N/A,N/A,N/A,0.7270,0.7338,0.7397,0.7565
 Camboya,Asia,0.6291,0.6353,0.6469,0.6410,0.6482,0.6464,0.6457,0.6509,0.6520
 Camerún,África,0.5865,0.5919,0.6017,0.6108,0.6110,0.6073,0.6291,0.6560,N/A
 Canadá,América,0.7165,0.7198,0.7136,0.7196,0.7372,0.7407,0.7381,0.7425,0.7464
 Cabo Verde,África,N/A,N/A,N/A,N/A,N/A,N/A,0.7180,0.7122,0.7133
 Chad,África,0.5247,0.5381,0.5290,0.5417,0.5330,0.5334,0.5594,0.5588,0.5764
 Chile,América Latina,0.6455,0.6482,0.6818,0.6884,0.7013,0.7030,0.6676,0.6670,0.6975
 China,East Asia,0.6561,0.6643,0.6878,0.6907,0.6881,0.6866,0.6853,0.6908,0.6830
 Colombia,América Latina,0.7049,0.7090,0.6944,0.6939,0.6927,0.6714,0.6901,0.7171,0.7122
 Costa Rica,América Latina,0.6936,0.7014,0.7111,0.7180,0.7194,0.7266,0.7225,0.7241,0.7165
 Costa de Marfil,África,N/A,N/A,N/A,N/A,0.5691,0.5773,0.5785,0.5814,0.5874
 Croacia,Europa,0.7145,0.7210,0.6967,0.6944,0.6939,0.7006,0.7053,0.7069,0.7075
 Cuba,América Latina,N/A,0.7169,0.7195,0.7176,0.7253,0.7394,0.7417,0.7540,0.7317
 Chipre,Europa y Medio Oriente,0.6430,0.6522,0.6694,0.6706,0.6642,0.6567,0.6732,0.6801,0.6741
 República Checa,Europa,0.6712,0.6718,0.6770,0.6789,0.6850,0.6789,0.6767,0.6770,0.6737
 Dinamarca,Europa,0.7462,0.7519,0.7538,0.7628,0.7719,0.7778,0.7777,0.7779,0.8025
 República Dominicana,América Latina,0.6639,0.6705,0.6744,0.6859,0.6774,0.6682,0.6659,0.6867,0.6906
 Ecuador,América Latina,0.6433,0.6881,0.7091,0.7220,0.7072,0.7035,0.7206,0.7389,0.7455
 Egipto,Medio oriente y África,0.5786,0.5809,0.5832,0.5862,0.5899,0.5933,0.5975,0.5935,0.6064
