rango,país,tasa de alfabetización (2018)​
0, Ciudad del Vaticano,100
0, Corea del Norte,100
1, Luxemburgo,100​
1, Liechtenstein,100
1, Noruega,100
1, Groenlandia,100​
1, España,100​
8, Letonia,"99,9​"
9, Barbados,"99,8​"
9, Lituania,"99,8​"
9, Ucrania,"99,8​"
9, Polonia,"99,8​"
9, Estonia,"99,8​"
9, Georgia,"99,8​"
9, Tayikistán,"99,8​"
9, Kazajistán,"99,8​"
9, Azerbaiyán,"99,8​"
9, Cuba,"99,8​"
9, Rusia,"99,8​"
9, Uruguay,"99,8​"
19, Eslovenia,"99,7​"
19, Bielorrusia,"99,7​"
19, Armenia,"99,7​"
19, Turkmenistán,"99,7​"
24, Kirguistán,"99,5​"
25, Moldavia,"99,4​"
25, Tonga,"99,4​"
27, Croacia,"99,3​"
27, Maldivas,"99,3​"
28, Argentina,"99,2​"
29, Italia,"99,2​"
30, Hungría,"99,1​"
31, Antigua y Barbuda,"99,0​​"
31, Australia,"99,0​"
31, Austria,"99,0​"
31, Bélgica,"99,0​"
31, Canadá,"99,0​"
31, República Checa,"99,0​"
31, Dinamarca,"99,0​"
31, Estados Unidos,"99,0​"
31, Finlandia,"99,0​"
31, Alemania,"99,0​"
31, Francia,"99,0​"
31, Guyana,"99,0​"
31, Islandia,"99,0​"
31, Irlanda,"99,0​"
31, Japón,"99,0​"
31, Corea del Sur,"99,0​"
31, Países Bajos,"99,0​"
31, Nueva Zelanda,"99,0​"
31, Eslovaquia,"99,0​"
31, Suecia,"99,0​"
31, Suiza,"99,0​"
31, Reino Unido,"99,0​"
31, Samoa,"99,0​"
31, Trinidad y Tobago,"99,0​"
55, Rumania,"98,8​"
58, Serbia,"98,5​"
59, Bosnia y Herzegovina,"98,4​"
61, Singapur,"98,1​"
62, Andorra,"97,8​"
62, Israel,"97,8​"
62, San Cristóbal y Nieves,"97,8​"
62, Mongolia,"97,8​"
66, Grecia,"97,7​"
66, Chipre,"97,7"
68, Albania,"97,6​"
70, Catar,"97,3​"
71, Venezuela,"97,1​"
72, Chile,"97,0​"
72, Costa Rica,"97,0​"
73, Uzbekistán,"96,9​"
73, Palestina,"96,9​"
75, China,"96,4​"
76, Filipinas,"96,3​"
77, Brunéi,"96,0​"
77, Granada,"96,0​"
79, Bahamas,"95,8​"
80, Portugal,"95,7​"
80, Kuwait,"95,7​"
80, Baréin,"95,7​"
83, Surinam,"95,6​"
83, Turquía,"95,6​"
85, Indonesia,"95,4​"
85, Jordania,"95,4​"
87, Guinea Ecuatorial,"95,3​"
88, Paraguay,"95,1​"
89, Panamá,"95,0​"
90, Santa Lucía,"94,8​"
91, Colombia,"94,7​"
91, Arabia Saudita,"94,7​"
92, Hong Kong,"94,6​"
92, Malasia,"94,6​"
94, Vietnam,"94,5​"
94, Sudáfrica,"94,5​"
96, Fiyi,"94,4​"
96, Malta,"94,4​"
96, Bulgaria,"94,4​"
96, Líbano,"94,4​"
100, Macedonia del Norte,"94,2​"
100, Emiratos Árabes Unidos,"94,2​"
100, Seychelles,"94,2​"
100, Perú,"94,2​"
102, Omán,"93,9​"
103, México,"93,7​"
104, Irán,"93,0​"
105, Tailandia,"92,9​"
106, Sri Lanka,"92,6​"
107, Brasil,"92,5​"
107, Bolivia,"92,5​"
109, Jamaica,"91,8​"
109, República Dominicana,"91,8​"
111, Libia,"91,0​"
112, Honduras,"89,0​"
113, Siria,"88,7​"
114, Botsuana,"88,5​"
115, San Vicente y las Granadinas,"88,1​"
116, Dominica,"88,0​"
116, Burundi,"88,0​"
118, Santo Tomé y Príncipe,"87,9"
119, Suazilandia,"87,5​"
120, Mauricio,"87,4"
121, El Salvador,"86,5​"
122, Zimbabue,"86,4​"
123, Ecuador,"85,6​"
125, Cabo Verde,"83,8"
126, Gabón,"83,2​"
127, Nicaragua,"82,8​"
128, Namibia,"81,9​"
129, Túnez,"81,8​"
130, Guatemala,"81,5​"
131, Argelia,"80,2​"
132, Laos,"79,9​"
133, Lesoto,"79,4​"
134, República del Congo,"79,3​"
135, Vanuatu,"78,1"
136, República Democrática del Congo,"77,0​"
137, Ghana,"76,6​"
137, Islas Salomón,"76,6​"
139, Camboya,"76,3"
140, Sudán,"75,9​"
141, Birmania,"75,6​"
142, Belice,"75,1​"
142, Comoras,"75,1​"
144, Camerún,"75,0​"
145, Eritrea,"73,8​"
145, Egipto,"73,8​"
147, Kenia,"73,6"
147, Uganda,"73,6"
149, Bangladés,"72,8​"
150, Tanzania,"72,3"
151, India,"71,2​"
152, Angola,"71,1​"
153, Ruanda,"70,5​"
154, Yibuti,"70,3​"
155, Yemen,"70,1​"
156, Marruecos,"68,5​"
157, Timor Oriental,"67,5​"
158, Bután,"64,9​"
159, Madagascar,"64,7​"
160, Papúa Nueva Guinea,"64,2​"
161, Nepal,"63,9​"
162, Togo,"63,7​"
163, Zambia,"63,4​"
164, Malaui,"62,1​"
165, Haití,"60,7​"
166, Guinea-Bisáu,"59,9​"
167, Nigeria,"59,6​"
168, Mozambique,"58,8​"
169, Pakistán,"57,9​"
170, Senegal,"57,7​"
171, Gambia,"55,5​"
172, Mauritania,"52,1​"
173, Etiopía,"49,1​"
174, Sierra Leona,"48,1​"
175, Costa de Marfil,"43,1​"
176, Benín,"38,4​"
177, Afganistán,"38,2​"
178, República Centroafricana,"36,8​"
179, Burkina Faso,"36,0​"
180, Malí,"33,1​"
181, Guinea,"30,4​"
182, Sudán del Sur,"27,0​"
183, Chad,"22,3​"
184, Níger,"19,1​"
