Puesto,País,Puntuación,Proceso electoraly pluralismo,Funcionamientodel gobierno,Participaciónpolítica,Culturapolítica,Derechosciviles,Categoría
1,Noruega,"9,75","10,00","9,64","10,00","10,00","9,12",Democracia plena
2, Nueva Zelanda,"9,37","10,00","8,93","9,44","8,75","9,71",Democracia plena
3, Finlandia,"9,27","10,00","9,29","8,89","8,75","9,41",Democracia plena
4,Suecia,"9,26","9,58","9,29","8,33","10,00","9,12",Democracia plena
5, Islandia,"9,18","10,00","8,21","8,89","9,38","9,41",Democracia plena
6, Dinamarca,"9,09","10,00","8,93","8,33","9,38","8,82",Democracia plena
7, Irlanda,"9,00","10,00","7,86","8,33","9,38","9,41",Democracia plena
8, República de China,"8,99","10,00","9,64","7,78","8,13","9,41",Democracia plena
9, Australia,"8,90","10,00","8,57","7,78","8,75","9,41",Democracia plena
9, Suiza,"8,90","9,58","8,93","7,78","9,38","8,82",Democracia plena
11, Países Bajos,"8,88","9,58","8,93","8,33","8,75","8,82",Democracia plena
12, Canadá,"8,87","10,00","8,21","8,89","8,13","9,12",Democracia plena
13,Uruguay,"8,85","10,00","8,57","7,22","8,75","9,71",Democracia plena
14, Luxemburgo,"8,68","10,00","8,57","6,67","8,75","9,41",Democracia plena
15, Alemania,"8,67","9,58","8,21","8,33","8,13","9,12",Democracia plena
16, Corea del Sur,"8,16","9,58","8,57","7,22","7,50","7,94",Democracia plena
17, Japón,"8,15","9,17","8,57","6,67","8,13","8,24",Democracia plena
18, Reino Unido,"8,10","9,58","7,50","8,33","6,25","8,82",Democracia plena
19, Mauricio,"8,08","9,17","7,86","6,11","8,75","8,53",Democracia plena
20, Austria,"8,07","9,58","6,79","8,89","6,88","8,24",Democracia plena
20, Costa Rica,"8,07","9,58","6,43","7,78","6,88","9,71",Democracia plena
22, Francia,"7,99","9,58","7,50","7,78","6,88","8,24",Democracia deficiente
23, Israel,"7,97","9,17","7,50","10,00","6,88","5,88",Democracia deficiente
24, España,"7,94","9,58","7,14","7,22","7,50","8,24",Democracia deficiente
25, Chile,"7,92","9,58","7,86","5,56","7,50","9,12",Democracia deficiente
26, Estados Unidos,"7,85","9,17","6,43","8,89","6,25","8,53",Democracia deficiente
27, Estonia,"7,84","9,58","7,86","6,67","6,88","8,24",Democracia deficiente
28, Portugal,"7,82","9,58","7,14","6,67","6,88","8,82",Democracia deficiente
29, República Checa,"7,74","9,58","6,43","6,67","7,50","8,53",Democracia deficiente
30, Botsuana,"7,73","9,17","6,79","6,67","7,50","8,53",Democracia deficiente
31, Italia,"7,68","9,58","6,43","7,22","7,50","7,65",Democracia deficiente
32, Cabo Verde,"7,65","9,17","7,00","6,67","6,88","8,53",Democracia deficiente
33, Malta,"7,57","9,17","6,79","5,56","8,13","8,24",Democracia deficiente
34, Grecia,"7,56","9,58","6,07","6,11","7,50","8,53",Democracia deficiente
35, Eslovenia,"7,54","9,58","6,43","7,22","6,25","8,24",Democracia deficiente
36, Bélgica,"7,51","9,58","7,86","5,00","6,88","8,24",Democracia deficiente
37, Chipre,"7,43","9,17","5,36","7,22","6,88","8,53",Democracia deficiente
38, Letonia,"7,31","9,58","6,07","6,11","6,25","8,53",Democracia deficiente
39, Malasia,"7,24","9,58","7,86","7,22","6,25","5,29",Democracia deficiente
40, Lituania,"7,18","9,58","6,07","6,11","5,63","8,53",Democracia deficiente
41, Trinidad y Tobago,"7,16","9,58","7,14","6,11","5,63","7,35",Democracia deficiente
42, Jamaica,"7,13","8,75","7,14","5,00","6,25","8,53",Democracia deficiente
43, Timor Oriental,"7,06","9,58","5,93","5,56","6,88","7,35",Democracia deficiente
44, Sudáfrica,"7,05","7,42","7,14","8,33","5,00","7,35",Democracia deficiente
45,Eslovaquia,"7,03","9,58","6,43","5,56","5,63","7,94",Democracia deficiente
46, India,"6,91","8,67","7,50","7,22","5,00","6,18",Democracia deficiente
47, Brasil,"6,86","9,58","5,36","6,11","5,63","7,65",Democracia deficiente
48,,"6,85","9,58","6,07","7,22","3,75","7,65",Democracia deficiente
49, Surinam,"6,82","9,58","6,07","6,11","5,00","7,35",Democracia deficiente
50, Argentina,"6,81","9,17","5,00","7,22","5,00","7,65",Democracia deficiente
51, Polonia,"6,80","9,17","6,07","6,67","5,63","6,47",Democracia deficiente
52, Indonesia,"6,71","7,92","7,86","7,22","4,38","6,18",Democracia deficiente
53, Bulgaria,"6,64","9,17","5,36","7,22","4,38","7,06",Democracia deficiente
54, Filipinas,"6,62","9,17","5,00","7,78","4,38","6,76",Democracia deficiente
55, Namibia,"6,52","7,00","5,36","6,67","5,63","7,94",Democracia deficiente
56, Croacia,"6,50","9,17","6,07","6,11","4,38","6,76",Democracia deficiente
56, Ghana,"6,50","8,33","5,36","6,67","6,25","5,88",Democracia deficiente
56, Hungría,"6,50","8,33","6,43","5,00","6,25","6,47",Democracia deficiente
59, Colombia,"6,48","9,17","5,71","6,11","3,75","7,65",Democracia deficiente
60, República Dominicana,"6,45","9,17","5,00","6,67","4,38","7,06",Democracia deficiente
61,Rumania,"6,43","9,17","6,07","6,11","3,75","7,06",Democracia deficiente
62, Mongolia,"6,42","8,75","5,71","6,11","5,63","5,88",Democracia deficiente
63, Serbia,"6,36","8,25","6,07","6,67","3,75","7,06",Democracia deficiente
64, Lesoto,"6,30","9,17","4,14","6,11","5,63","6,47",Democracia deficiente
65, Guyana,"6,25","6,92","6,07","5,56","5,63","7,06",Democracia deficiente
66, Singapur,"6,23","4,83","8,21","4,44","7,50","6,18",Democracia deficiente
67, Sri Lanka,"6,14","7,00","5,71","5,56","6,25","6,18",Democracia deficiente
68,Albania,"6,11","7,00","6,43","4,44","5,63","7,06",Democracia deficiente
69, Moldavia,"6,10","7,00","5,71","6,67","4,38","6,76",Democracia deficiente
69, Papúa Nueva Guinea,"6,10","6,92","6,07","3,89","6,25","7,35",Democracia deficiente
71,Perú,"6,09","8,75","5,36","5,56","3,75","7,06",Democracia deficiente
72, Tailandia,"6,04","7,00","5,00","6,67","6,25","5,29",Democracia deficiente
73, Macedonia del Norte,"6,03","7,42","6,43","6,11","3,13","7,06",Democracia deficiente
74,Montenegro,"6,02","7,42","6,43","6,67","3,13","6,47",Democracia deficiente
75, Bangladés,"5,99","7,42","6,07","5,56","5,63","5,29",Régimen híbrido
75, Túnez,"5,99","7,50","4,64","7,22","5,00","5,59",Régimen híbrido
77,Paraguay,"5,86","8,75","5,36","5,00","3,13","7,06",Régimen híbrido
78, Malaui,"5,74","7,00","4,29","5,00","6,25","6,18",Régimen híbrido
79, El Salvador,"5,72","9,17","3,93","5,56","3,75","6,18",Régimen híbrido
79, Zambia,"5,72","7,50","3,64","5,00","6,88","5,59",Régimen híbrido
81, Bután,"5,71","8,75","6,79","3,33","5,00","4,71",Régimen híbrido
81, Ecuador,"5,71","8,75","5,00","6,11","2,50","6,18",Régimen híbrido
83, Madagascar,"5,70","7,92","3,57","6,67","5,63","4,71",Régimen híbrido
84, Fiyi,"5,61","6,58","5,00","5,56","5,63","5,29",Régimen híbrido
85, Hong Kong,"5,60","2,75","3,64","5,56","7,50","8,53",Régimen híbrido
86,México,"5,57","6,92","5,00","7,22","3,13","5,59",Régimen híbrido
86,Ucrania,"5,57","8,25","2,36","6,67","5,00","5,59",Régimen híbrido
88, Senegal,"5,53","5,67","5,71","4,44","6,25","5,99",Régimen híbrido
89, Armenia,"5,49","7,50","5,71","6,11","3,13","5,00",Régimen híbrido
90, Liberia,"5,43","7,42","2,71","6,11","5,63","5,29",Régimen híbrido
91, Georgia,"5,12","7,42","3,57","5,56","3,75","5,29",Régimen híbrido
92, Honduras,"5,10","8,75","3,93","4,44","2,50","5,88",Régimen híbrido
92, Tanzania,"5,10","4,83","5,00","5,00","6,25","4,41",Régimen híbrido
94, Kenia,"5,05","3,50","5,36","6,67","5,63","4,12",Régimen híbrido
95, Bosnia y Herzegovina,"5,04","7,00","3,29","5,56","3,75","5,59",Régimen híbrido
