Puesto >> 2021 >> IDH Muy Alto >> IDH Alto >> IDH Medio >> IDH Bajo,Puesto >> Variación 2019 - 2021 >> IDH Muy Alto >> IDH Alto >> IDH Medio >> IDH Bajo,País >> IDH Muy Alto >> IDH Alto >> IDH Medio >> IDH Bajo,Indice de Desarrollo Humano >> IDH 2021​ >> IDH Muy Alto >> IDH Alto >> IDH Medio >> IDH Bajo,Indice de Desarrollo Humano >> IDH 2020 >> IDH Muy Alto >> IDH Alto >> IDH Medio >> IDH Bajo,Indice de Desarrollo Humano >> Crecimiento 2020 - 2021​ >> IDH Muy Alto >> IDH Alto >> IDH Medio >> IDH Bajo,Indice de Desarrollo Humano >> Crecimiento 2019 - 2020​ >> IDH Muy Alto >> IDH Alto >> IDH Medio >> IDH Bajo
1,1,Suiza,0.962,0.956,"0,006","0,001"
2,1,Noruega,0.961,0.959,"0,002","0,002"
3,1,Islandia,0.959,0.957,"0,002","0,008"
4,, Hong Kong,0.952,0.949,"0,003","0,000"
5,3,Australia,0.951,"0,947","0,004","0,003"
6,4,Dinamarca,0.948,0.947,"0,001","0,007"
7,,Suecia,0.947,0.942,"0,005","0,003"
8,6,Irlanda,0.945,0.943,"0,002","0,012"
9,,Alemania,0.942,0.944,"0,002","0,003"
10,2, Países Bajos,0.941,0.939,"0,002","0,005"
11,,Finlandia,0.940,0.938,"0,002","0,000"
12,1,Singapur,0.939,0.939,"0,000","0,001"
13,1,Bélgica,0.937,0.928,"0,009","0,003"
13,1,Nueva Zelanda,0.937,0.936,"0,001","0,005"
15,, Canadá,0.936,0.931,"0,005","0,002"
16,3, Liechtenstein,0.935,0.933,"0,002","0,014"
17,6, Luxemburgo,0.930,0.924,"0,006","0,008"
18,5, Reino Unido,0.929,0.924,"0,005","0,008"
19,4,Corea del Sur,0.925,0.922,"0,003","0,006"
19,,Japón,0.925,0.923,"0,002","0,004"
21,4,Estados Unidos,0.921,0.920,"0,001","0,006"
22,3,Israel,0.919,0.917,"0,002","0,002"
23,5,Malta,0.918,0.911,"0,007","0,016"
23,3,Eslovenia,0.918,0.913,"0,005","0,004"
25,7,Austria,0.916,0.913,"0,003","0,009"
26,5,Emiratos Árabes Unidos,0.911,0.912,"0,001","0,022"
27,2,España,0.905,0.899,"0,006","0,005"
28,2,Francia,0.903,0.898,"0,005","0,003"
29,4,Chipre,0.896,0.894,"0,002","0,007"
30,1,Italia,0.895,0.889,"0,006","0,003"
31,2,Estonia,0.890,0.892,"0,002","0,000"
32,5,República Checa,0.889,0.892,"0,003","0,007"
33,1,Grecia,0.887,0.886,"0,001","0,002"
34,1,Polonia,0.876,0.876,"0,000","0,004"
35,7,Baréin,0.875,0.877,"0,002","0,025"
35,1,Lituania,0.875,0.879,"0,004","0,003"
35,4,Arabia Saudita,0.875,0.870,"0,005","0,016"
38,,Portugal,0.866,0.863,"0,003","0,001"
39,2,Letonia,0.863,0.871,"0,008","0,005"
40,4,Andorra,0.858,0.848,"0,010","0,020"
40,3,Croacia,0.858,0.855,"0,003","0,004"
42,1,Chile,0.855,0.852,"0,003","0,001"
42,,Catar,0.855,0.854,"0,001","0,006"
44,, San Marino,0.853,0.845,"0,008","0,000"
45,6,Eslovaquia,0.848,0.847,"0,009","0,013"
46,6,Hungría,0.846,0.849,"0,003","0,005"
47,,Argentina,0.842,0.840,"0,002","0,005"
48,6,Turquía,0.838,0.833,"0,005","0,013"
49,1,Montenegro,0.832,0.826,"0,006","0,003"
50,14,Kuwait,0.831,0.822,"0,009","0,016"
51,4,Brunei Darusalam,0.829,0.830,"0,001","0,008"
52,,Rusia,0.822,0.830,"0,008","0,006"
53,4,Rumanía,0.821,0.824,"0,003","0,004"
54,6,Omán,0.816,0.827,"0,011","0,014"
55,3,Bahamas,0.812,0.815,"0,003","0,001"
56,5,Kazajistán,0.811,0.814,"0,003","0,011"
57,10,Trinidad y Tobago,0.810,0.818,"0,008","0,022"
58,4,Costa Rica,0.809,0.816,"0,007","0,006"
58,3,Uruguay,0.809,0.821,"0,012","0,004"
60,7,Bielorrusia,0.808,0.807,"0,001","0,016"
61,5,Panamá,0.805,0.801,"0,004","0,014"
62,,Malasia,0.803,0.806,"0,003","0,004"
63,3,Georgia,0.802,0.802,"0,000","0,010"
63,3,Mauricio,0.802,0.804,"0,002","0,000"
63,1,Serbia,0.802,0.804,"0,002","0,002"
66,13,Tailandia,0.800,0.802,"0,002","0,025"
67,2,Albania,0.796,0.794,"0,002","0,001"
68,12,Bulgaria,0.795,0.802,"0,007","0,014"
68,6,Granada,0.795,0.792,"0,003","0,013"
70,12,Barbados,0.790,0.788,"0,002","0,026"
71,7,Antigua y Barbuda,0.788,"0,788","0,000","0,010"
72,5,Seychelles,0.785,0.793,"0,008","0,003"
73,1,Sri Lanka,0.782,0.780,"0,002","0,002"
74,1,Bosnia y Herzegovina,0.780,0.781,"0,001","0,001"
75,1,San Cristobal y Nieves,0.777,0.779,"0,002","0,000"
76,6,Irán,0.774,0.777,"0,003","0,006"
77,3,Ucrania,0.773,0.775,"0,002","0,004"
78,4,Macedonia del Norte,0.770,0.774,"0,004","0,000"
79,6,China,0.768,0.764,"0,004","0,003"
80,8,República Dominicana,0.767,0.764,"0,003","0,008"
80,10,Moldavia,0.767,0.766,"0,001","0,016"
80,30,Palaos,0.767,0.773,"0,006","0,053"
83,13,Cuba,0.764,0.781,"0,017","0,002"
84,5,Perú,0.762,0.762,"0,000","0,015"
85,4,Armenia,0.759,0.757,"0,002","0,019"
86,12,México,0.758,0.756,"0,002","0,023"
87,3,Brasil,0.754,0.758,"0,004","0,007"
88,5,Colombia,0.752,0.756,"0,004","0,011"
89,8,San Vicente y las Granadinas,0.751,0.764,"0,013","0,026"
90,5,Maldivas,0.747,0.734,"0,013","0,006"
91,3,Azerbaiyán,0.745,0.730,"0,015","0,026"
91,,Argelia,0.745,0.734,"0,009","0,014"
91,20,Turkmenistán,0.745,0.741,"0,004","0,026"
91,13,Tonga,0.745,0.745,"0,000","0,020"
95,9,Ecuador,0.740,0.731,"0,009","0,028"
96,3,Mongolia,0.739,0.745,"0,006","0,008"
97,19,Egipto,0.731,0.734,"0,003","0,027"
97,2,Túnez,0.731,0.737,"0,006","0,003"
99,6,Fiyi,0.730,0.737,"0,007","0,006"
99,2,Surinam,0.730,0.743,"0,013","0,005"
